0.0613941086 0.0993244931 0.3891272528 0.4127174174
0.6491414331 0.5901054836 0.3970822086 0.0303523503
0.6121685897 0.4695368302 0.8557999424 0.6841283333
0.4757754954 0.5449956999 0.0140764051 0.5501745988
0.1540821804 0.1338945050 0.2012324333 0.4408059393
0.4805810842 0.3884464029 0.9023023693 0.9396644628
0.6481805071 0.6182975806 0.0783052104 0.6129134701
0.0035387633 0.6037263421 0.1774857541 0.1757156877
0.8496640386 0.7706926504 0.4248676732 0.8756390218
0.4000755610 0.9759817353 0.3972500295 0.4742310086
0.2548604674 0.1816852473 0.5384492811 0.8229186887
0.8469072279 0.8819349482 0.6464506596 0.7802793581
0.8638090088 0.7395503846 0.7952116733 0.6764251617
0.8026634080 0.8275378949 0.2493097584 0.6402930991
0.2110255062 0.9191164192 0.6659175058 0.7493491034
0.1493988594 0.7452387009 0.0484937210 0.7132368928
0.5291243246 0.0588498318 0.4585845091 0.9057101134
0.3039114086 0.5028007963 0.9544807223 0.2791980032
0.6653001050 0.7978178413 0.4127011399 0.4048008115
0.2641981822 0.5177343474 0.8965994148 0.2891004850
0.5613344153 0.2972193197 0.8385956228 0.4473043846
0.1548357641 0.5939643084 0.8888816501 0.9045442582
0.8280264653 0.3224550201 0.9719992511 0.9038331057
0.4640193586 0.4490849247 0.5638579843 0.3076139040
0.8631828674 0.2845195747 0.0168481749 0.8505533345
0.8141590043 0.1304650271 0.4456350068 0.0303123678
0.7047076411 0.6729338296 0.6191196713 0.3293167823
0.6361869958 0.0579198724 0.7130376608 0.8501722795
0.9648811774 0.9474551180 0.5182048593 0.5717294502
0.2702985724 0.3532275799 0.7861351127 0.5085778980
0.0093113445 0.7604051973 0.2751086428 0.4091497049
0.7107994859 0.2662676344 0.7620322541 0.1408652421
0.8977196599 0.2254251885 0.8457661447 0.7956584223
0.4036262101 0.2527083535 0.0861631311 0.6510593426
0.7300688131 0.9082903633 0.0179798758 0.4824514699
0.6622009919 0.5159837486 0.9378560142 0.2236354971
0.3928602501 0.5772810424 0.2638435391 0.9044780659
0.7374137756 0.9932955292 0.6841501722 0.7334919294
0.2863308882 0.8011269841 0.4790425941 0.6978224982
0.1843239848 0.6358083483 0.1058771419 0.7193583681
0.2282426605 0.7431017306 0.7481531752 0.1408481438
0.8359043301 0.0298598870 0.1626364783 0.6731332373
